Modelo,Classe,Métrica,Média,DP,Mediana,Min,Max
Google Vision,Alegria,Acuracia,0.2845170068027211,0.06916194023679412,0.28285714285714286,0.16,0.42
Google Vision,Alegria,Precisao,0.22691817170134057,0.04450437803322784,0.22828784119106693,0.1403508771929824,0.3043478260869565
Google Vision,Alegria,Recall,0.2845170068027211,0.06916194023679412,0.28285714285714286,0.16,0.42
Google Vision,Alegria,F1,0.2522791023859853,0.05463811132308069,0.2546296296296296,0.1495327102803738,0.3529411764705883
Google Vision,Raiva,Acuracia,0.04400000000000001,0.03296811416693617,0.04,0.0,0.12
Google Vision,Raiva,Precisao,0.05719983447624632,0.04118321113874013,0.055598455598455554,0.0,0.1463414634146341
Google Vision,Raiva,Recall,0.04400000000000001,0.03296811416693617,0.04,0.0,0.12
Google Vision,Raiva,F1,0.04962899687371105,0.03649500297119577,0.04651791751183225,0.0,0.1318681318681318
Roboflow,Alegria,Acuracia,0.6426666666666668,0.06982408108131875,0.64,0.46,0.78
Roboflow,Alegria,Precisao,0.42338897948817844,0.0270543737251776,0.4254545454545454,0.3382352941176471,0.4583333333333333
Roboflow,Alegria,Recall,0.6426666666666668,0.06982408108131875,0.64,0.46,0.78
Roboflow,Alegria,F1,0.5099573354502317,0.03963277927544183,0.5116279069767441,0.3898305084745763,0.5735294117647058
Roboflow,Raiva,Acuracia,0.12733333333333335,0.05394335044721697,0.12,0.04,0.24
Roboflow,Raiva,Precisao,0.25596855890136083,0.07594109526281805,0.25,0.125,0.4
Roboflow,Raiva,Recall,0.12733333333333335,0.05394335044721697,0.12,0.04,0.24
Roboflow,Raiva,F1,0.16863218512592734,0.06393826690607275,0.16441441441441434,0.0606060606060606,0.3
